,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
1716,['万科第五城 3室1厅 北'],150,19209,万科第五城,双流,蛟龙港,3室1厅1厨1卫,低楼层 (共27层),78.09㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯六户,有,2021-09-03,商品房,2015-11-03,普通住宅,满两年,非共有,"
                                有抵押 35万元
                              ",已上传房本照片,,,,
1717,['金座蓉城胜景 3室1厅 东南'],180,18642,金座蓉城胜景,双流,东升镇,3室1厅1厨1卫,低楼层 (共15层),96.56㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,有,2020-09-19,商品房,2017-04-12,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1718,['南湖逸家二期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,南湖逸家二期,双流,华府,3室2厅1厨2卫,中楼层 (共30层),83.38㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,2021-04-17,商品房,2017-06-13,普通住宅,满两年,共有,"
                                有抵押 200万元
                              ",已上传房本照片,,,,
1719,['一杆旗东街41号 2室2厅 南 北'],88,8642,一杆旗东街41号,双流,东升镇,2室2厅1厨2卫,高楼层 (共6层),101.83㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021-06-14,商品房,2009-12-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1720,['莲花社区 4室1厅 南'],123,9006,莲花社区,双流,文星镇,4室1厅1厨2卫,高楼层 (共6层),136.59㎡,跃层,121.74㎡,暂无数据,南,未知结构,毛坯,一梯一户,暂无数据,2021-03-05,商品房,2017-11-24,普通住宅,满两年,非共有,"
                                有抵押 20万元 工建农中 业主自还
                              ",已上传房本照片,,,,
1721,['巴黎都市二区 3室1厅 东 东南 南'],260,12710,巴黎都市二区,双流,航空港,3室1厅1厨2卫,低楼层 (共18层),204.57㎡,跃层,172.22㎡,塔楼,东 东南 南,钢混结构,简装,两梯六户,有,2021-05-18,商品房,2018-02-07,普通住宅,满两年,非共有,"
                                有抵押 50万元 建设银行 业主自还
                              ",已上传房本照片,,,,
1722,['保利叶语 3室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,保利叶语,双流,华府,3室1厅1厨1卫,中楼层 (共29层),70.47㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,两梯五户,有,2021-10-19,商品房,2017-09-01,普通住宅,满两年,非共有,"
                                有抵押 20万元 哈尔滨银行 业主自还
                              ",已上传房本照片,,,,
1723,['南港家园 3室2厅 西'],105,10613,南港家园,双流,航空港,3室2厅1厨1卫,高楼层 (共6层),98.94㎡,平层,暂无数据,板楼,西,钢混结构,简装,一梯四户,暂无数据,2021-06-06,商品房,2007-11-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1724,['华兴苑B区 3室2厅 东南'],80,8029,华兴苑B区,双流,东升镇,3室2厅1厨1卫,高楼层 (共6层),99.64㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯两户,无,2020-11-15,商品房,2008-09-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1725,['中国科学院光电技术研究院员工宿舍 3室2厅 西南'],98,9075,中国科学院光电技术研究院员工宿舍,双流,文星镇,3室2厅1厨2卫,低楼层 (共3层),108㎡,平层,暂无数据,暂无数据,西南,未知结构,精装,一梯一户,暂无数据,2021-10-27,已购公房,2007-03-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1726,['万锦城 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,万锦城,双流,华府,3室2厅1厨1卫,高楼层 (共29层),78.31㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,三梯八户,有,2021-08-14,商品房,2019-02-21,普通住宅,满两年,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,,,,
1727,['翰林上岛 3室2厅 西南'],155,17418,翰林上岛,双流,航空港,3室2厅1厨1卫,高楼层 (共16层),88.99㎡,平层,74.76㎡,塔楼,西南,钢混结构,精装,两梯七户,有,2021-10-20,商品房,2018-04-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
