,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
957,['西区花园花园洋房 3室2厅 东南'],121,9835,西区花园花园洋房,郫都,犀浦,3室2厅1厨2卫,高楼层 (共6层),123.04㎡,跃层,暂无数据,板塔结合,东南,混合结构,简装,一梯两户,无,2020-01-09,商品房,2005-07-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
958,['龙城国际四期 3室1厅 东 东南'],暂无数据,首付及贷款情况请咨询经纪人,龙城国际四期,郫都,橡树湾,3室1厅1厨2卫,高楼层 (共32层),90.41㎡,平层,73.97㎡,板塔结合,东 东南,框架结构,精装,两梯六户,有,2021-02-19,商品房,2018-03-13,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
959,['成都后花园三期 3室2厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,成都后花园三期,郫都,成外,3室2厅1厨2卫,低楼层 (共25层),127.73㎡,跃层,暂无数据,板塔结合,西北,框架结构,精装,三梯六户,有,2020-04-06,商品房,2018-09-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",未上传房本照片,,,,
960,['今日花园 3室2厅 西北'],130,9982,今日花园,郫都,犀浦,3室2厅1厨2卫,高楼层 (共6层),130.24㎡,跃层,116.37㎡,板塔结合,西北,混合结构,简装,一梯两户,无,2021-11-22,商品房,2012-12-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
961,['今日花园 4室2厅 西南'],138,8527,今日花园,郫都,犀浦,4室2厅1厨2卫,高楼层 (共6层),161.85㎡,跃层,暂无数据,板塔结合,西南,混合结构,简装,一梯两户,无,2021-02-28,商品房,2007-02-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
962,['今日花园 4室1厅 东南'],152,9870,今日花园,郫都,犀浦,4室1厅1厨2卫,高楼层 (共6层),154.01㎡,跃层,暂无数据,板塔结合,东南,砖混结构,简装,一梯两户,无,2021-07-31,商品房,2009-06-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
963,['蓝光兰亭悦府 4室2厅 东'],235,18404,蓝光兰亭悦府,郫都,成外,4室2厅1厨2卫,高楼层 (共20层),127.69㎡,平层,暂无数据,板塔结合,东,钢混结构,其他,两梯六户,有,2019-12-18,商品房,2019-08-14,普通住宅,满两年,非共有,"
                                有抵押 75万元 邮政储蓄银行 业主自还
                              ",已上传房本照片,,,,
964,['锦苑三期 5室2厅 东北'],315,13699,锦苑三期,郫都,犀浦,5室2厅1厨3卫,高楼层 (共6层),229.96㎡,跃层,暂无数据,板塔结合,东北,钢混结构,精装,一梯两户,有,2021-10-26,商品房,2014-10-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
965,['锦绣西苑一期 4室2厅 东'],120,8330,锦绣西苑一期,郫都,郫县万达,4室2厅1厨2卫,高楼层 (共6层),144.07㎡,跃层,130.17㎡,板楼,东,钢混结构,精装,一梯两户,无,2021-02-27,商品房,2015-04-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
966,['今日花园 4室2厅 东南'],150,11550,今日花园,郫都,犀浦,4室2厅1厨2卫,高楼层 (共6层),129.88㎡,跃层,117㎡,板塔结合,东南,砖混结构,精装,一梯两户,无,2020-05-12,商品房,2012-02-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
967,['成外雅庭 3室1厅 东南'],136,12937,成外雅庭,郫都,成外,3室1厅1厨1卫,低楼层 (共18层),105.13㎡,平层,87.63㎡,塔楼,东南,钢混结构,简装,两梯六户,有,2021-05-23,商品房,2015-04-22,普通住宅,满五年,非共有,"
                                有抵押 40万元 中国银行蜀都支行 金融公司垫资
                              ",已上传房本照片,,,,
968,['成都后花园三期 5室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,成都后花园三期,郫都,成外,5室2厅1厨2卫,中楼层 (共25层),135.52㎡,平层,113.22㎡,板塔结合,东南,框架结构,精装,三梯六户,有,2021-07-23,商品房,2015-08-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
