,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
1708,['中海锦城二期 3室2厅 南 北'],暂无数据,首付及贷款情况请咨询经纪人,中海锦城二期,武侯,簇桥,3室2厅1厨1卫,低楼层 (共14层),95.81㎡,平层,79.69㎡,板楼,南 北,钢混结构,精装,两梯六户,有,2021-12-09,商品房,2016-02-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1709,['武海中华锦绣 2室1厅 西'],130,14537,武海中华锦绣,武侯,草金立交,2室1厅1厨1卫,中楼层 (共15层),89.43㎡,平层,73.97㎡,板楼,西,钢混结构,其他,两梯六户,有,2021-12-11,商品房,2012-08-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1710,['风尚国际 5室2厅 东南'],416,16995,风尚国际,武侯,高升桥,5室2厅1厨4卫,高楼层 (共15层),244.79㎡,跃层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,2021-10-18,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 150万元 建设银行 业主自还
                              ",未上传房本照片,
1711,['武海中华锦绣 2室1厅 西'],130,14537,武海中华锦绣,武侯,草金立交,2室1厅1厨1卫,中楼层 (共15层),89.43㎡,平层,73.97㎡,板楼,西,钢混结构,其他,两梯六户,有,2021-12-11,商品房,2012-08-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1712,['巷上生活馆 1室1厅 西 西北'],79,14377,巷上生活馆,武侯,广福桥,1室1厅1厨1卫,中楼层 (共15层),54.95㎡,平层,42.72㎡,板楼,西 西北,框架结构,精装,四梯三十五户,有,2021-12-13,商品房,2008-12-05,普通住宅,满五年,共有,"
                                有抵押 10万元 待定 业主自还
                              ",已上传房本照片,
1713,['名士公馆 3室1厅 南 西'],300,25683,名士公馆,武侯,航空路,3室1厅1厨2卫,高楼层 (共11层),116.81㎡,跃层,暂无数据,板楼,南 西,框架结构,简装,一梯三户,有,2021-10-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片,
1714,['星语双城二期 2室2厅 东北'],120,15593,星语双城二期,武侯,草金立交,2室2厅1厨1卫,中楼层 (共11层),76.96㎡,平层,暂无数据,板楼,东北,钢混结构,简装,一梯三户,有,2021-12-11,商品房,2010-11-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1715,['菊乐路98号 2室1厅 东 东南'],65,12798,菊乐路98号,武侯,双楠,2室1厅1厨1卫,高楼层 (共7层),50.79㎡,平层,50.79㎡,板塔结合,东 东南,混合结构,精装,一梯三户,无,2021-12-11,商品房,1999-12-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1716,['玲珑郡 2室1厅 西'],暂无数据,首付及贷款情况请咨询经纪人,玲珑郡,武侯,簇桥,2室1厅1厨1卫,高楼层 (共11层),63.36㎡,平层,暂无数据,板楼,西,框架结构,精装,两梯七户,有,2021-12-11,商品房,2018-12-05,普通住宅,满两年,共有,"
                                有抵押 50万元 建设 客户偿还
                              ",已上传房本照片,
1717,['武海中华锦绣 2室1厅 西南'],139,18081,武海中华锦绣,武侯,草金立交,2室1厅1厨1卫,高楼层 (共15层),76.88㎡,平层,65.33㎡,板塔结合,西南,框架结构,精装,两梯六户,有,2021-12-13,商品房,2015-12-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1718,['棕南苑 3室1厅 南'],200,15190,棕南苑,武侯,川大,3室1厅1厨2卫,高楼层 (共14层),131.67㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯八户,有,2021-11-02,拆迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
1719,['临江路8号 2室1厅 西南'],144.8,20450,临江路8号,武侯,川音,2室1厅1厨1卫,中楼层 (共7层),70.81㎡,平层,70.81㎡,板楼,西南,框架结构,简装,一梯四户,无,2021-12-13,商品房,2015-04-28,普通住宅,满五年,非共有,"
                                有抵押 48万元 中国银行，业主自还 业主自还
                              ",已上传房本照片,
1720,['蓝光金双楠一期 2室2厅 西北 东北'],120,23590,蓝光金双楠一期,武侯,草金立交,2室2厅1厨1卫,低楼层 (共25层),50.87㎡,平层,暂无数据,板塔结合,西北 东北,钢混结构,精装,三梯八户,有,2021-12-13,商品房,2017-09-11,普通住宅,满两年,非共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片,
1721,['富邑华庭 2室1厅 东南 东'],133,15046,富邑华庭,武侯,草金立交,2室1厅1厨1卫,高楼层 (共21层),88.4㎡,平层,73.53㎡,板楼,东南 东,框架结构,精装,两梯六户,有,2021-12-14,商品房,2013-11-04,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
1722,['橙堡 1室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,橙堡,武侯,红牌楼,1室1厅1厨1卫,中楼层 (共16层),55.14㎡,平层,44.22㎡,板楼,西南,框架结构,其他,两梯六户,有,2021-12-14,商品房,2012-12-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1723,['教育学院教师公寓 2室1厅 西'],187,20737,教育学院教师公寓,武侯,华西,2室1厅1厨1卫,中楼层 (共31层),90.18㎡,平层,78.5㎡,塔楼,西,钢混结构,其他,三梯八户,有,2021-12-14,商品房,2014-05-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1724,['银泰香樟林 3室1厅 西北'],214,24324,银泰香樟林,武侯,红牌楼,3室1厅1厨1卫,高楼层 (共17层),87.98㎡,平层,暂无数据,板楼,西北,钢混结构,简装,两梯六户,有,2021-11-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 20万元
                              ",未上传房本照片,
1725,['雅然居 3室2厅 南'],228,17217,雅然居,武侯,双楠,3室2厅1厨2卫,中楼层 (共16层),132.43㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯六户,有,2021-12-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
1726,['三度空间 2室1厅 东'],125,24132,三度空间,武侯,火车南站,2室1厅1厨1卫,低楼层 (共24层),51.8㎡,平层,暂无数据,板楼,东,钢混结构,精装,两梯八户,有,2021-12-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
1727,['大华情融苑 3室1厅 南'],303,14545,大华情融苑,武侯,外双楠,3室1厅1厨2卫,中楼层 (共8层),208.33㎡,跃层,188.34㎡,板楼,南,框架结构,精装,一梯三户,有,2021-12-01,商品房,2011-11-10,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
1728,['交大归谷国际社区 3室2厅 东南'],360,25285,交大归谷国际社区,武侯,丽都,3室2厅1厨2卫,低楼层 (共13层),142.38㎡,平层,118.34㎡,板楼,东南,钢混结构,精装,两梯两户,有,2019-05-16,商品房,2014-03-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1729,['成通小区 2室2厅 东南'],70,12532,成通小区,武侯,武侯立交,2室2厅1厨1卫,高楼层 (共6层),55.86㎡,平层,55.86㎡,板楼,东南,钢混结构,简装,一梯两户,无,2019-05-05,商品房,2001-08-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1730,['曼哈顿一期 2室2厅 南'],140,15417,曼哈顿一期,武侯,航空路,2室2厅1厨2卫,中楼层 (共15层),90.81㎡,跃层,74.46㎡,塔楼,南,框架结构,精装,四梯三十六户,有,2019-06-13,商品房,2004-05-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1731,['溢阳绿城 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,溢阳绿城,武侯,外双楠,4室2厅1厨3卫,高楼层 (共6层),175.32㎡,错层,163.19㎡,板楼,南,钢混结构,精装,一梯两户,无,2019-07-31,商品房,2014-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1732,['郭家桥西街5号 2室1厅 东南'],90,15751,郭家桥西街5号,武侯,川大,2室1厅1厨1卫,中楼层 (共7层),57.14㎡,平层,49㎡,板楼,东南,混合结构,简装,一梯四户,无,2019-09-04,商品房,2002-12-12,普通住宅,满五年,非共有,"
                                有抵押 56万元 业主自还
                              ",已上传房本照片,
1733,['幸福时光 2室1厅 东南 西北'],90,13965,幸福时光,武侯,丽都,2室1厅1厨1卫,中楼层 (共12层),64.45㎡,平层,暂无数据,板楼,东南 西北,框架结构,精装,两梯十八户,有,2019-07-28,商品房,2005-02-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1734,['吉馨苑 2室1厅 东'],115.5,15529,吉馨苑,武侯,五大花园,2室1厅1厨1卫,高楼层 (共6层),74.38㎡,平层,67.69㎡,板楼,东,砖混结构,精装,一梯四户,无,2020-10-18,商品房,2009-05-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1735,['园中园东苑 3室2厅 东'],125,8803,园中园东苑,武侯,五大花园,3室2厅1厨2卫,中楼层 (共7层),142㎡,错层,121.21㎡,板楼,东,砖混结构,简装,一梯两户,无,2021-04-19,商品房,2017-04-07,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
1736,['红牌楼北街10号 2室1厅 东南'],72.8,12092,红牌楼北街10号,武侯,高升桥,2室1厅1厨1卫,高楼层 (共7层),60.21㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯三户,无,2021-03-16,商品房,2018-04-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
1737,['置信丽都花园城D区 4室2厅 南'],398,23674,置信丽都花园城D区,武侯,新双楠,4室2厅1厨2卫,低楼层 (共13层),168.12㎡,平层,139.37㎡,板塔结合,南,框架结构,简装,两梯四户,有,2020-09-02,商品房,2009-10-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1738,['曼哈顿自然派 1室1厅 南'],134.5,17313,曼哈顿自然派,武侯,航空路,1室1厅1厨1卫,低楼层 (共20层),77.69㎡,平层,58.42㎡,板塔结合,南,框架结构,精装,两梯十九户,有,2020-04-21,商品房,2016-07-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1739,['锦绣街9号 2室1厅 南'],93.9,14979,锦绣街9号,武侯,棕北,2室1厅1厨1卫,高楼层 (共6层),62.69㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2020-08-19,商品房,2007-07-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1740,['华尔兹广场(武侯) 1室1厅 南'],104,14930,华尔兹广场(武侯),武侯,航空路,1室1厅1厨1卫,高楼层 (共24层),69.66㎡,平层,暂无数据,板楼,南,框架结构,其他,三梯二十四户,有,2021-10-10,商品房,2013-10-25,普通住宅,满五年,非共有,"
                                有抵押 房东可自己解决
                              ",已上传房本照片,
1741,['武海中华锦绣 3室1厅 西北'],160,18408,武海中华锦绣,武侯,草金立交,3室1厅1厨1卫,低楼层 (共15层),86.92㎡,平层,74.92㎡,板塔结合,西北,框架结构,其他,两梯五户,有,2021-08-07,商品房,2012-10-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1742,['美丽星 3室2厅 北 东北'],暂无数据,首付及贷款情况请咨询经纪人,美丽星,武侯,外双楠,3室2厅1厨2卫,中楼层 (共5层),117.13㎡,平层,暂无数据,板楼,北 东北,钢混结构,简装,一梯两户,无,2020-10-30,商品房,2005-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1743,['百花福园(百花正街) 3室1厅 南 北'],105,11421,百花福园(百花正街),武侯,双楠,3室1厅1厨1卫,中楼层 (共7层),91.94㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,无,2021-05-22,商品房,2012-01-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1744,['SOHO沸城 1室1厅 南'],60,16974,SOHO沸城,武侯,棕北,1室1厅1厨1卫,高楼层 (共12层),35.35㎡,平层,35㎡,板塔结合,南,框架结构,简装,三梯三十三户,有,2021-08-24,商品房,2009-09-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1745,['航空花园 1室1厅 南'],170,20116,航空花园,武侯,航空路,1室1厅1厨1卫,高楼层 (共25层),84.51㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯六户,有,2020-04-27,商品房,2006-03-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1746,['乐居福园 3室2厅 东南'],180,15854,乐居福园,武侯,红牌楼,3室2厅1厨2卫,高楼层 (共11层),113.54㎡,跃层,103.34㎡,板楼,东南,砖混结构,简装,一梯四户,有,2021-06-10,商品房,2013-12-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1747,['芳草地 3室1厅 南'],300,18399,芳草地,武侯,桐梓林,3室1厅1厨2卫,低楼层 (共9层),163.06㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2020-09-09,商品房,2003-06-02,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
1748,['雷迪波尔城市花园 2室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,雷迪波尔城市花园,武侯,五大花园,2室1厅1厨1卫,低楼层 (共11层),73.9㎡,平层,64.11㎡,板塔结合,东南,钢混结构,简装,一梯四户,有,2021-02-02,商品房,2016-07-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1749,['双发金英汇 1室1厅 北'],115,22719,双发金英汇,武侯,航空路,1室1厅1厨1卫,高楼层 (共24层),50.62㎡,暂无数据,37.46㎡,板楼,北,钢混结构,精装,两梯六户,有,2020-06-30,商品房,2012-10-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1750,['武侯名园 3室2厅 东南'],276,19705,武侯名园,武侯,华西,3室2厅1厨2卫,低楼层 (共16层),140.07㎡,错层,暂无数据,板楼,东南,钢混结构,简装,一梯两户,有,2020-08-19,商品房,2003-05-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1751,['汇景新村(武侯) 3室1厅 南'],178,16603,汇景新村(武侯),武侯,外双楠,3室1厅1厨2卫,低楼层 (共6层),107.21㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-06-16,商品房,2005-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1752,['芳草地 4室2厅 南'],320,16233,芳草地,武侯,桐梓林,4室2厅1厨2卫,低楼层 (共9层),197.14㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,2021-03-16,商品房,2017-09-26,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,
1753,['巴黎阳光 2室2厅 西南 东北'],162,17023,巴黎阳光,武侯,双楠,2室2厅1厨1卫,高楼层 (共7层),95.17㎡,平层,暂无数据,板塔结合,西南 东北,钢混结构,精装,一梯两户,无,2021-01-20,商品房,2003-05-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1754,['人民南路四段7号 1室1厅 东南'],62,14847,人民南路四段7号,武侯,棕北,1室1厅1厨1卫,中楼层 (共6层),41.76㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯六户,无,2020-09-03,已购公房,2009-04-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1755,['桐梓林欧城 3室2厅 南'],410,27285,桐梓林欧城,武侯,桐梓林,3室2厅1厨1卫,低楼层 (共21层),150.27㎡,平层,120.96㎡,板塔结合,南,钢混结构,简装,两梯三户,有,2021-04-14,商品房,2010-05-12,普通住宅,满五年,非共有,"
                                有抵押 50万元 没说 客户偿还
                              ",已上传房本照片,
1756,['龙湖金楠时光 3室1厅 西'],204,23217,龙湖金楠时光,武侯,五大花园,3室1厅1厨1卫,中楼层 (共21层),87.87㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,两梯五户,有,2021-07-16,商品房,2017-07-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
1757,['SOHO沸城 1室0厅 南'],58,15860,SOHO沸城,武侯,棕北,1室0厅0厨1卫,中楼层 (共12层),36.57㎡,平层,暂无数据,板塔结合,南,框架结构,精装,三梯三十户,有,2020-07-17,商品房,2017-09-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
1758,['珑熙郡 3室2厅 东南'],218,28741,珑熙郡,武侯,新双楠,3室2厅1厨1卫,中楼层 (共17层),75.85㎡,平层,60.32㎡,塔楼,东南,钢混结构,精装,两梯八户,有,2021-03-04,商品房,2019-10-30,普通住宅,满两年,共有,"
                                有抵押 50万元 成都银行 客户偿还
                              ",已上传房本照片,
1759,['双楠二区 3室1厅 东'],88,10569,双楠二区,武侯,双楠,3室1厅1厨1卫,高楼层 (共7层),83.27㎡,平层,77.54㎡,板楼,东,混合结构,毛坯,一梯三户,无,2020-06-11,已购公房,2008-05-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1760,['卫居苑 3室2厅 西南 西'],158,11880,卫居苑,武侯,双楠,3室2厅1厨2卫,高楼层 (共7层),133㎡,平层,暂无数据,板楼,西南 西,砖混结构,简装,一梯两户,无,2021-03-13,已购公房,2000-06-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1761,['曼哈顿一期 1室1厅 南'],79,15346,曼哈顿一期,武侯,航空路,1室1厅1厨1卫,高楼层 (共15层),51.48㎡,跃层,42.21㎡,塔楼,南,框架结构,精装,四梯三十六户,有,2021-05-24,商品房,2006-06-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1762,['中华名园一期 3室2厅 南 北'],暂无数据,首付及贷款情况请咨询经纪人,中华名园一期,武侯,武侯立交,3室2厅1厨2卫,高楼层 (共11层),131.53㎡,错层,112.24㎡,板楼,南 北,钢混结构,其他,两梯两户,有,2021-07-28,商品房,2012-10-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1763,['红牌楼北街23号院 2室1厅 东南'],62,10267,红牌楼北街23号院,武侯,高升桥,2室1厅1厨1卫,中楼层 (共7层),60.39㎡,平层,暂无数据,板楼,东南,混合结构,简装,一梯三户,无,2020-12-22,商品房,2013-01-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1764,['丽都世家B区 3室2厅 西南 东北'],252,28926,丽都世家B区,武侯,丽都,3室2厅1厨1卫,低楼层 (共17层),87.12㎡,平层,69.82㎡,塔楼,西南 东北,钢混结构,其他,两梯四户,有,2021-08-11,商品房,2016-10-10,普通住宅,满五年,非共有,"
                                有抵押 40 业主自还
                              ",已上传房本照片,
1765,['中央花园二期 3室2厅 西北'],112,9672,中央花园二期,武侯,五大花园,3室2厅1厨2卫,高楼层 (共7层),115.8㎡,错层,115.8㎡,板塔结合,西北,混合结构,毛坯,一梯两户,无,2021-06-12,商品房,2005-08-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1766,['棕南西街1号 3室1厅 东'],136,14464,棕南西街1号,武侯,棕北,3室1厅1厨1卫,中楼层 (共7层),94.03㎡,平层,暂无数据,板楼,东,砖混结构,简装,一梯四户,无,2020-06-08,商品房,2012-07-12,普通住宅,满五年,非共有,"
                                有抵押 30万元 简阳农商行 业主自还
                              ",已上传房本照片,
1767,['成通小区 3室2厅 南'],130,12370,成通小区,武侯,武侯立交,3室2厅1厨1卫,中楼层 (共6层),105.1㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-09-13,商品房,2016-03-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1768,['广福桥街32号 2室1厅 南 北'],66,12020,广福桥街32号,武侯,高升桥,2室1厅1厨1卫,中楼层 (共7层),54.91㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,无,2020-12-13,商品房,1996-12-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1769,['丽都世家B区 2室1厅 东南'],214,26664,丽都世家B区,武侯,丽都,2室1厅1厨1卫,高楼层 (共17层),80.26㎡,平层,80.26㎡,板楼,东南,框架结构,其他,四梯十户,有,2021-10-14,商品房,2018-02-02,普通住宅,满两年,非共有,"
                                有抵押 120万元 农行 客户偿还
                              ",已上传房本照片,
1770,['丰德万瑞中心 3室2厅 南'],180,16006,丰德万瑞中心,武侯,航空路,3室2厅0厨1卫,高楼层 (共25层),112.46㎡,平层,89.04㎡,板楼,南,框架结构,简装,两梯六户,有,2021-03-04,商品房,2010-04-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1771,['商鼎国际 1室1厅 南'],82,15584,商鼎国际,武侯,航空路,1室1厅1厨1卫,低楼层 (共28层),52.62㎡,平层,暂无数据,板塔结合,南,框架结构,简装,三梯十五户,有,2020-12-30,商品房,2017-09-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
1772,['双楠二区 3室1厅 东南'],92,11345,双楠二区,武侯,双楠,3室1厅1厨1卫,中楼层 (共7层),81.1㎡,平层,70.1㎡,板楼,东南,混合结构,毛坯,一梯三户,无,2019-05-15,已购公房,2006-01-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1773,['锦江苑(武侯) 3室1厅 东南'],115,12135,锦江苑(武侯),武侯,华西,3室1厅1厨2卫,中楼层 (共7层),94.77㎡,平层,暂无数据,板楼,东南,混合结构,毛坯,一梯四户,无,2021-04-21,商品房,2000-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1774,['桐梓林欧城 3室1厅 南'],260,29135,桐梓林欧城,武侯,桐梓林,3室1厅1厨2卫,低楼层 (共21层),89.24㎡,平层,71.87㎡,板塔结合,南,钢混结构,精装,两梯五户,有,2021-07-27,商品房,2010-10-25,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
1775,['汇景新村(武侯) 3室2厅 东北'],206,15737,汇景新村(武侯),武侯,外双楠,3室2厅1厨2卫,高楼层 (共6层),130.91㎡,平层,暂无数据,板楼,东北,砖混结构,简装,一梯四户,无,2021-05-20,商品房,2005-09-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1776,['蓝光金楠府 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,蓝光金楠府,武侯,五大花园,3室1厅1厨1卫,中楼层 (共16层),88.1㎡,平层,72.93㎡,板楼,南,钢混结构,简装,三梯八户,有,2021-07-04,商品房,2016-11-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1777,['卫欣苑 3室2厅 西北'],190,15345,卫欣苑,武侯,红牌楼,3室2厅1厨2卫,高楼层 (共6层),123.82㎡,平层,123.82㎡,板楼,西北,砖混结构,精装,一梯两户,无,2021-05-05,商品房,2006-04-29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1778,['燃灯寺东街14号 1室1厅 东'],48,13817,燃灯寺东街14号,武侯,双楠,1室1厅1厨1卫,低楼层 (共6层),34.74㎡,平层,暂无数据,板楼,东,混合结构,精装,一梯三户,无,2020-05-11,已购公房,2003-07-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1779,['一品天成 3室1厅 东'],228,20409,一品天成,武侯,簇桥,3室1厅1厨2卫,中楼层 (共12层),111.72㎡,平层,90.88㎡,板塔结合,东,钢混结构,精装,两梯四户,有,2021-01-14,商品房,2015-01-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1780,['金林俊景 2室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,金林俊景,武侯,五大花园,2室1厅1厨1卫,低楼层 (共17层),78.21㎡,平层,63.79㎡,板塔结合,东,框架结构,精装,两梯四户,有,2020-12-27,商品房,2012-08-29,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,
1781,['蜀馨苑B区 2室1厅 东南'],85,11425,蜀馨苑B区,武侯,双楠,2室1厅1厨1卫,高楼层 (共7层),74.4㎡,平层,暂无数据,板楼,东南,混合结构,精装,一梯两户,无,2020-05-16,已购公房,2013-08-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1782,['南华苑 3室2厅 东南'],192,16139,南华苑,武侯,红牌楼,3室2厅1厨2卫,中楼层 (共11层),118.97㎡,平层,100.1㎡,板塔结合,东南,框架结构,简装,一梯三户,有,2020-12-02,商品房,2009-04-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1783,['玲珑郡 3室1厅 东 东南'],暂无数据,首付及贷款情况请咨询经纪人,玲珑郡,武侯,簇桥,3室1厅1厨2卫,高楼层 (共13层),96.25㎡,平层,79.83㎡,板楼,东 东南,框架结构,毛坯,两梯四户,有,2021-08-21,商品房,2013-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1784,['燃灯寺东街14号 3室1厅 东南'],102,12784,燃灯寺东街14号,武侯,双楠,3室1厅1厨1卫,高楼层 (共6层),79.79㎡,平层,暂无数据,板楼,东南,钢混结构,简装,一梯两户,无,2021-06-05,已购公房,2013-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",未上传房本照片,
1785,['交大庭院 3室2厅 南'],138,12454,交大庭院,武侯,五大花园,3室2厅1厨2卫,高楼层 (共7层),110.81㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-10-17,商品房,2001-10-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1786,['祥福苑(武侯) 3室2厅 南'],170,10713,祥福苑(武侯),武侯,玉林,3室2厅1厨2卫,低楼层 (共22层),158.7㎡,平层,暂无数据,板塔结合,南,框架结构,简装,两梯八户,有,2021-03-04,商品房,2016-06-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1787,['顺达苑 4室2厅 南 东南'],210,12651,顺达苑,武侯,外双楠,4室2厅1厨2卫,高楼层 (共7层),166㎡,错层,暂无数据,板楼,南 东南,砖混结构,简装,一梯两户,无,2019-10-03,商品房,2003-05-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
1788,['九峰国际 2室1厅 东南 南'],暂无数据,首付及贷款情况请咨询经纪人,九峰国际,武侯,红牌楼,2室1厅1厨1卫,低楼层 (共18层),86.31㎡,平层,暂无数据,板楼,东南 南,框架结构,精装,两梯七户,有,2020-05-17,商品房,2013-03-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1789,['商鼎国际 1室1厅 东 西'],84,14907,商鼎国际,武侯,航空路,1室1厅1厨1卫,中楼层 (共28层),56.35㎡,平层,44.61㎡,板塔结合,东 西,框架结构,精装,三梯十六户,有,2021-01-13,商品房,2009-02-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1790,['园中园南苑 2室1厅 南'],80,12358,园中园南苑,武侯,五大花园,2室1厅1厨1卫,高楼层 (共7层),64.74㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯四户,无,2019-12-04,商品房,2010-07-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1791,['花样年华梦想家 1室0厅 东南'],45,10537,花样年华梦想家,武侯,棕北,1室0厅1厨1卫,低楼层 (共15层),42.71㎡,平层,暂无数据,塔楼,东南,框架结构,简装,三梯三十二户,有,2021-02-19,商品房,2005-04-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
