,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
1430,['建设南村55号 3室1厅 西'],146.5,13199,建设南村55号,锦江,水碾河,3室1厅1厨1卫,中楼层 (共7层),111㎡,平层,暂无数据,板楼,西,砖混结构,简装,一梯两户,无,2021-10-09,商品房,1998-09-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1431,['静居嘉苑 3室1厅 东南'],263,24191,静居嘉苑,锦江,静居寺,3室1厅1厨2卫,低楼层 (共6层),108.72㎡,错层,暂无数据,板楼,东南,混合结构,其他,一梯两户,无,2021-08-26,商品房,2006-04-14,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,,
1432,['城市理想 1室1厅 东'],185,37949,城市理想,锦江,盐市口,1室1厅1厨1卫,高楼层 (共37层),48.75㎡,平层,36.16㎡,板塔结合,东,框架结构,精装,四梯二十七户,有,2021-07-15,商品房,2011-12-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1433,['华成苑 3室1厅 西南'],73,9987,华成苑,锦江,水碾河,3室1厅1厨1卫,高楼层 (共6层),73.1㎡,平层,暂无数据,板楼,西南,框架结构,其他,一梯一户,暂无数据,2021-10-08,已购公房,2016-10-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1434,['交大绿岭二期 3室2厅 东南'],185,21238,交大绿岭二期,锦江,静居寺,3室2厅1厨1卫,低楼层 (共34层),87.11㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,三梯九户,有,2021-10-04,商品房,2012-10-29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1435,['锦蓉佳苑 4室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,锦蓉佳苑,锦江,三圣乡,4室2厅1厨2卫,低楼层 (共30层),135.09㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,两梯五户,有,2021-10-21,已购公房,2018-05-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1436,['ICC天曜 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,ICC天曜,锦江,东大路,4室2厅1厨3卫,高楼层 (共29层),194.52㎡,平层,156.48㎡,板楼,南,钢混结构,毛坯,两梯两户,有,2020-05-01,商品房,2017-11-09,普通住宅,满两年,非共有,"
                                有抵押 130万元
                              ",已上传房本照片,,,,
1437,['正成财富ID 1室2厅 东南'],80,19016,正成财富ID,锦江,盐市口,1室2厅0厨1卫,中楼层 (共23层),42.07㎡,跃层,30.45㎡,板楼,东南,框架结构,其他,四梯十七户,有,2021-02-21,商品房,2009-12-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1438,['锦华馆12号 3室1厅 东南'],102,15000,锦华馆12号,锦江,盐市口,3室1厅1厨1卫,中楼层 (共7层),68㎡,平层,暂无数据,板楼,东南,未知结构,精装,一梯三户,无,2021-06-04,商品房,1999-12-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1439,['龙舟小区3号院 2室1厅 西南 南'],80,14491,龙舟小区3号院,锦江,三官堂,2室1厅1厨1卫,中楼层 (共7层),55.21㎡,平层,暂无数据,板楼,西南 南,钢混结构,简装,一梯两户,无,2021-10-01,商品房,2011-01-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1440,['恒大都汇华庭 1室2厅 东南'],233,34652,恒大都汇华庭,锦江,合江亭,1室2厅1厨1卫,中楼层 (共50层),67.24㎡,平层,48.86㎡,板塔结合,东南,钢混结构,毛坯,四梯六户,有,2021-09-20,商品房,2019-02-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1441,['望江嘉苑 3室2厅 东南'],325,25395,望江嘉苑,锦江,三官堂,3室2厅1厨2卫,高楼层 (共11层),127.98㎡,错层,暂无数据,板楼,东南,砖混结构,简装,一梯两户,有,2021-03-14,商品房,2004-02-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1442,['城市理想 1室1厅 东'],150,26897,城市理想,锦江,盐市口,1室1厅1厨1卫,低楼层 (共37层),55.77㎡,平层,暂无数据,板塔结合,东,框架结构,精装,四梯二十七户,有,2020-02-27,商品房,2017-05-10,普通住宅,满两年,共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片,,,,
1443,['康庄街28号 2室2厅 东'],72.5,10716,康庄街28号,锦江,盐市口,2室2厅1厨1卫,高楼层 (共7层),67.66㎡,平层,暂无数据,板楼,东,砖混结构,简装,一梯三户,无,2021-09-06,商品房,2014-07-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1444,['外滩 3室1厅 东南'],340,26903,外滩,锦江,九眼桥,3室1厅1厨2卫,中楼层 (共41层),126.38㎡,平层,104.86㎡,板塔结合,东南,框架结构,精装,三梯六户,有,2021-11-03,商品房,2014-12-30,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
1445,['华都美林湾 2室1厅 西南 西'],183,20493,华都美林湾,锦江,三圣乡,2室1厅1厨1卫,低楼层 (共29层),89.3㎡,平层,74.48㎡,塔楼,西南 西,框架结构,简装,两梯五户,有,2021-07-16,商品房,2011-01-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1446,['龙舟小区3号院 2室1厅 西南 南'],80,14491,龙舟小区3号院,锦江,三官堂,2室1厅1厨1卫,中楼层 (共7层),55.21㎡,平层,暂无数据,板楼,西南 南,钢混结构,简装,一梯两户,无,2021-10-01,商品房,2011-01-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1447,['比华利国际城三期 3室1厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,比华利国际城三期,锦江,川师,3室1厅1厨2卫,中楼层 (共13层),92.34㎡,平层,暂无数据,板楼,西北,钢混结构,精装,三梯六户,有,2021-09-08,商品房,2017-12-18,普通住宅,满两年,共有,"
                                有抵押 200万元 建行 业主自还
                              ",已上传房本照片,,,,
1448,['新开街5号 2室1厅 东 西'],303,26353,新开街5号,锦江,盐市口,2室1厅1厨1卫,高楼层 (共7层),114.98㎡,平层,暂无数据,板楼,东 西,砖混结构,其他,一梯两户,无,2020-08-31,商品房,2017-01-03,普通住宅,满两年,非共有,"
                                有抵押 50万元 中国银行
                              ",已上传房本照片,,,,
1449,['锦江逸家 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,锦江逸家,锦江,卓锦城,3室1厅1厨2卫,中楼层 (共33层),74.6㎡,平层,57.05㎡,塔楼,东南,钢混结构,毛坯,两梯六户,有,2020-09-27,商品房,2016-07-22,普通住宅,满五年,共有,"
                                有抵押 15万元
                              ",已上传房本照片,,,,
1450,['蓉上坊一期 3室1厅 南'],180,24175,蓉上坊一期,锦江,合江亭,3室1厅1厨1卫,低楼层 (共31层),74.46㎡,平层,59.07㎡,板塔结合,南,框架结构,其他,四梯十九户,有,2021-10-10,商品房,2011-10-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1451,['督院街54号 4室1厅 南'],310,26725,督院街54号,锦江,盐市口,4室1厅1厨1卫,中楼层 (共7层),116㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-07-10,商品房,2000-06-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1452,['鑫苑名家二期 3室2厅 东北'],260,23479,鑫苑名家二期,锦江,卓锦城,3室2厅1厨2卫,低楼层 (共34层),110.74㎡,平层,暂无数据,板塔结合,东北,钢混结构,简装,两梯六户,有,2021-06-27,商品房,2014-01-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1453,['锦蓉佳苑 2室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,锦蓉佳苑,锦江,三圣乡,2室1厅1厨1卫,低楼层 (共30层),89.01㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯五户,有,2021-03-12,商品房,2018-02-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1454,['钢管厂五区 2室1厅 东南'],57,9647,钢管厂五区,锦江,莲花,2室1厅1厨1卫,高楼层 (共6层),59.09㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯两户,无,2021-04-20,商品房,1998-10-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1455,['锦蓉佳苑 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,锦蓉佳苑,锦江,三圣乡,4室2厅1厨2卫,中楼层 (共30层),162.89㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2021-06-02,已购公房,2018-05-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1456,['四海逸家二期 4室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,四海逸家二期,锦江,卓锦城,4室2厅1厨3卫,中楼层 (共34层),97.23㎡,跃层,73.38㎡,板楼,东南,框架结构,精装,两梯四户,有,2021-05-07,商品房,2014-03-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1457,['锦江城市花园三期 3室1厅 东南'],165,20120,锦江城市花园三期,锦江,三圣乡,3室1厅1厨1卫,高楼层 (共34层),82.01㎡,平层,67.24㎡,板塔结合,东南,钢混结构,简装,两梯十一户,有,2021-06-29,商品房,2012-11-28,普通住宅,满五年,非共有,"
                                有抵押 15万元 业主自还
                              ",已上传房本照片,,,,
1458,['锦江城市花园二期 2室1厅 东南'],101,20116,锦江城市花园二期,锦江,三圣乡,2室1厅1厨1卫,高楼层 (共34层),50.21㎡,平层,41.36㎡,板塔结合,东南,钢混结构,简装,两梯九户,有,2021-10-11,商品房,2011-04-21,普通住宅,满五年,共有,"
                                有抵押 15万元 中信银行 客户偿还
                              ",已上传房本照片,,,,
1459,['蓝光凯丽香江 3室2厅 西南'],222.5,21242,蓝光凯丽香江,锦江,琉璃场,3室2厅1厨2卫,低楼层 (共42层),104.75㎡,平层,81.95㎡,塔楼,西南,钢混结构,其他,三梯六户,有,2021-07-04,商品房,2012-03-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
