,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
594,['北部桂庭 3室1厅 东南'],180,11647,北部桂庭,新都,大丰,3室1厅1厨2卫,高楼层 (共6层),154.55㎡,复式,暂无数据,板楼,东南,钢混结构,简装,一梯三户,无,2021-12-13,商品房,2008-10-23,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,,,,
595,['北欧知识城二期 2室1厅 东'],85,11186,北欧知识城二期,新都,大丰,2室1厅1厨1卫,低楼层 (共34层),75.99㎡,平层,暂无数据,板塔结合,东,钢混结构,其他,三梯六户,有,2021-12-19,商品房,2018-04-23,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
596,['翔宇榜样 4室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,翔宇榜样,新都,大丰,4室1厅1厨2卫,高楼层 (共18层),86.65㎡,平层,暂无数据,板塔结合,东北,钢混结构,其他,两梯六户,有,2021-12-10,商品房,2019-08-15,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
597,['丽水金都 3室1厅 南'],130,9102,丽水金都,新都,毗河,3室1厅1厨2卫,中楼层 (共26层),142.84㎡,平层,113.36㎡,塔楼,南,钢混结构,其他,两梯三户,有,2021-12-14,商品房,2010-03-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
598,['橄榄郡 3室1厅 西'],126,10085,橄榄郡,新都,新都城区,3室1厅1厨2卫,低楼层 (共17层),124.94㎡,平层,104.79㎡,板楼,西,框架结构,其他,两梯五户,有,2021-12-14,商品房,2011-07-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
599,['华逸花园新都苑 3室2厅 南'],58,5552,华逸花园新都苑,新都,新都城区,3室2厅1厨1卫,高楼层 (共6层),104.48㎡,平层,暂无数据,暂无数据,南,混合结构,其他,一梯两户,暂无数据,2021-12-13,商品房,2015-12-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
600,['锦绣香城 3室2厅 东南'],123,9614,锦绣香城,新都,新都城区,3室2厅1厨2卫,低楼层 (共26层),127.94㎡,平层,104.04㎡,板楼,东南,钢混结构,精装,两梯四户,有,2021-12-11,商品房,2013-01-24,普通住宅,满五年,共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,,,,
601,['交大数字三区 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,交大数字三区,新都,大丰,3室2厅1厨1卫,低楼层 (共18层),89.08㎡,平层,72.06㎡,塔楼,南,钢混结构,其他,三梯五户,有,2021-12-13,商品房,2015-07-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
602,['汉嘉国际 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,汉嘉国际,新都,新都城区,3室2厅1厨2卫,中楼层 (共33层),128.82㎡,平层,101.34㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2021-12-10,商品房,2015-03-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
603,['汇融广场 3室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,汇融广场,新都,大丰,3室1厅1厨1卫,低楼层 (共33层),80.87㎡,平层,暂无数据,板塔结合,东,钢混结构,其他,三梯八户,有,2021-12-11,商品房,2016-10-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
604,['保利公园198百合郡 4室2厅 南'],170,12260,保利公园198百合郡,新都,保利公园,4室2厅1厨2卫,中楼层 (共26层),138.67㎡,平层,115.59㎡,板塔结合,南,框架结构,精装,两梯四户,有,2021-12-11,商品房,2013-08-02,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
605,['北新润苑二期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,北新润苑二期,新都,大丰,3室2厅1厨2卫,中楼层 (共15层),98.8㎡,平层,暂无数据,板塔结合,南,框架结构,其他,两梯四户,有,2021-12-15,商品房,2013-08-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
606,['橄榄郡 3室2厅 南'],139,11211,橄榄郡,新都,新都城区,3室2厅1厨2卫,低楼层 (共6层),123.99㎡,平层,112.87㎡,板楼,南,钢混结构,简装,一梯两户,无,2021-12-10,商品房,2008-08-20,普通住宅,满五年,共有,"
                                有抵押 65万元 建设银行 业主自还
                              ",已上传房本照片,,,,
607,['桂湖名城一期 3室2厅 东北'],96,10949,桂湖名城一期,新都,新都城区,3室2厅1厨1卫,高楼层 (共33层),87.68㎡,平层,69.25㎡,板塔结合,东北,框架结构,其他,三梯五户,有,2021-12-14,商品房,2018-03-16,普通住宅,满两年,共有,"
                                有抵押 建行 业主自还
                              ",已上传房本照片,,,,
608,['天府香城印象 2室2厅 西'],105,12096,天府香城印象,新都,新都城区,2室2厅1厨1卫,低楼层 (共26层),86.81㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,两梯七户,有,2021-12-22,商品房,2019-03-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
609,['静安社区 3室2厅 西南'],88,6884,静安社区,新都,新都城区,3室2厅1厨1卫,中楼层 (共6层),127.84㎡,平层,暂无数据,板塔结合,西南,混合结构,精装,一梯两户,无,2021-12-16,商品房,2010-12-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
610,['海伦国际二期 3室2厅 南'],165,14331,海伦国际二期,新都,新都城区,3室2厅1厨2卫,高楼层 (共26层),115.14㎡,平层,暂无数据,板塔结合,南,框架结构,其他,两梯五户,有,2021-12-17,商品房,2018-03-19,普通住宅,满两年,非共有,"
                                有抵押 16 业主自还
                              ",已上传房本照片,,,,
611,['红湖公园城 2室1厅 南'],86,12098,红湖公园城,新都,大丰,2室1厅1厨1卫,高楼层 (共26层),71.09㎡,平层,58.74㎡,板塔结合,南,钢混结构,其他,两梯六户,有,2021-12-17,商品房,2013-11-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
612,['万科双水岸 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,万科双水岸,新都,毗河,4室2厅1厨3卫,高楼层 (共4层),180㎡,跃层,暂无数据,板塔结合,南,混合结构,毛坯,一梯两户,无,2021-12-17,商品房,2016-01-30,普通住宅,满五年,共有,"
                                有抵押 20万元 中国银行 业主自还
                              ",已上传房本照片,,,,
613,['润禾花园 2室1厅 南'],120,14336,润禾花园,新都,大丰,2室1厅1厨1卫,高楼层 (共18层),83.71㎡,平层,71.08㎡,塔楼,南,框架结构,精装,两梯六户,有,2021-12-18,商品房,2013-12-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
